Nodes: 253
Arcs: 684
Blocks: 88
UB: 126
LB: 126
Used Time: 34.5891
Used Insecticide: 2770.34
N. Nodes: 1
Runtime: 0.0223579
X: 2 46
X: 2 33
X: 4 5
X: 5 6
X: 6 115
X: 7 8
X: 8 2
X: 16 24
X: 18 55
X: 23 24
X: 23 86
X: 24 26
X: 24 23
X: 26 83
X: 32 35
X: 33 2
X: 33 135
X: 35 85
X: 46 108
X: 50 171
X: 55 56
X: 56 166
X: 83 16
X: 85 159
X: 86 23
X: 86 159
X: 98 18
X: 101 102
X: 102 98
X: 103 136
X: 104 103
X: 106 107
X: 107 200
X: 108 157
X: 115 7
X: 130 50
X: 135 136
X: 135 33
X: 136 101
X: 136 135
X: 157 106
X: 159 4
X: 159 86
X: 163 130
X: 166 163
X: 171 104
X: 200 203
X: 203 253
X: 253 32
Y: 2 0
Y: 2 50
Y: 2 69
Y: 2 84
Y: 26 24
Y: 26 26
Y: 32 17
Y: 32 70
Y: 32 86
Y: 83 25
Y: 83 27
Y: 130 36
Y: 130 74
Y: 203 49
Y: 203 81
