Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 3874
LB: 4170
Used Time: 84.8236
Used Insecticide: 7489.4
N. Nodes: 7713
Runtime: 3600.11
X: 3 251
X: 4 5
X: 5 33
X: 6 259
X: 7 259
X: 7 531
X: 7 8
X: 8 95
X: 8 7
X: 21 475
X: 25 27
X: 27 32
X: 32 248
X: 33 25
X: 33 34
X: 34 21
X: 85 1212
X: 88 85
X: 95 8
X: 137 214
X: 195 211
X: 197 203
X: 203 204
X: 204 256
X: 208 715
X: 210 254
X: 211 215
X: 211 212
X: 212 208
X: 213 197
X: 214 210
X: 215 211
X: 219 526
X: 245 360
X: 248 33
X: 251 464
X: 254 461
X: 256 1055
X: 259 7
X: 259 466
X: 272 342
X: 342 272
X: 342 219
X: 356 213
X: 360 1142
X: 461 245
X: 462 3
X: 464 4
X: 466 812
X: 475 476
X: 476 6
X: 526 195
X: 531 7
X: 715 137
X: 812 813
X: 813 88
X: 1055 462
X: 1142 356
X: 1212 342
Y: 4 29
Y: 7 320
Y: 7 494
Y: 8 506
Y: 25 46
Y: 25 497
Y: 27 43
Y: 27 44
Y: 33 45
Y: 33 319
Y: 33 323
Y: 85 452
Y: 85 508
Y: 95 437
Y: 137 92
Y: 137 354
Y: 211 110
Y: 211 341
Y: 215 337
Y: 245 32
Y: 254 387
Y: 259 30
Y: 259 31
Y: 272 365
Y: 272 366
Y: 342 121
Y: 342 357
Y: 342 440
Y: 342 485
Y: 360 133
Y: 360 186
Y: 461 362
Y: 464 496
Y: 531 367
Y: 812 228
Y: 812 343
