Nodes: 179
Arcs: 499
Blocks: 73
UB: 1056
LB: 1056
Used Time: 82.8482
Used Insecticide: 5041.76
N. Nodes: 89128
Runtime: 3293.31
X: 1 163
X: 1 165
X: 2 7
X: 2 45
X: 3 4
X: 4 34
X: 4 33
X: 4 3
X: 5 4
X: 6 99
X: 7 76
X: 7 6
X: 9 10
X: 9 32
X: 10 9
X: 11 131
X: 11 17
X: 11 16
X: 14 15
X: 15 14
X: 15 70
X: 16 26
X: 16 21
X: 16 11
X: 17 11
X: 17 58
X: 21 16
X: 22 23
X: 22 73
X: 23 15
X: 23 22
X: 25 23
X: 26 27
X: 26 25
X: 27 28
X: 27 26
X: 28 27
X: 28 76
X: 31 5
X: 32 2
X: 32 117
X: 33 4
X: 34 31
X: 34 72
X: 36 37
X: 37 98
X: 38 44
X: 39 40
X: 39 78
X: 39 46
X: 40 39
X: 40 47
X: 41 42
X: 42 49
X: 42 43
X: 42 41
X: 43 50
X: 43 98
X: 43 42
X: 44 46
X: 44 43
X: 45 2
X: 46 44
X: 46 39
X: 47 104
X: 49 42
X: 49 141
X: 50 43
X: 50 49
X: 51 120
X: 52 51
X: 53 55
X: 54 86
X: 54 17
X: 55 54
X: 56 52
X: 58 59
X: 58 130
X: 59 58
X: 61 179
X: 62 56
X: 67 128
X: 67 68
X: 68 7
X: 68 92
X: 69 131
X: 70 16
X: 72 22
X: 72 34
X: 73 129
X: 76 9
X: 76 28
X: 78 39
X: 78 97
X: 80 105
X: 80 111
X: 81 78
X: 82 140
X: 83 116
X: 83 158
X: 85 89
X: 86 54
X: 89 117
X: 89 85
X: 91 53
X: 92 68
X: 93 127
X: 94 93
X: 95 96
X: 96 36
X: 97 40
X: 98 38
X: 98 142
X: 99 67
X: 101 81
X: 104 170
X: 104 139
X: 105 80
X: 105 108
X: 106 108
X: 106 143
X: 107 151
X: 108 106
X: 108 105
X: 111 152
X: 111 80
X: 114 159
X: 116 114
X: 117 89
X: 117 32
X: 120 50
X: 127 95
X: 128 67
X: 129 72
X: 130 61
X: 131 69
X: 131 11
X: 139 171
X: 139 104
X: 140 101
X: 141 91
X: 142 1
X: 143 107
X: 143 106
X: 151 82
X: 152 111
X: 158 83
X: 159 160
X: 159 160
X: 160 161
X: 160 159
X: 161 165
X: 162 94
X: 163 83
X: 165 1
X: 165 162
X: 170 171
X: 171 173
X: 171 139
X: 173 62
X: 179 143
Y: 2 42
Y: 2 58
Y: 4 12
Y: 7 70
Y: 11 17
Y: 11 71
Y: 14 18
Y: 15 19
Y: 15 20
Y: 16 21
Y: 16 22
Y: 22 1
Y: 22 72
Y: 36 47
Y: 40 28
Y: 42 29
Y: 44 30
Y: 46 26
Y: 49 31
Y: 53 68
Y: 54 62
Y: 58 33
Y: 76 15
Y: 98 25
Y: 139 40
Y: 139 61
Y: 165 41
