Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 9787
LB: 10532
Used Time: 80.9966
Used Insecticide: 7911.82
N. Nodes: 42309
Runtime: 3600.3
X: 217 281
X: 219 224
X: 221 217
X: 221 308
X: 224 221
X: 272 342
X: 281 326
X: 281 327
X: 287 315
X: 295 302
X: 299 1212
X: 302 299
X: 307 287
X: 308 307
X: 312 325
X: 315 312
X: 323 346
X: 325 323
X: 326 221
X: 327 281
X: 342 272
X: 342 219
X: 346 915
X: 546 547
X: 547 549
X: 549 1163
X: 915 546
X: 941 295
X: 959 941
X: 960 959
X: 1088 1162
X: 1162 960
X: 1163 1088
X: 1212 342
Y: 217 118
Y: 217 119
Y: 221 117
Y: 221 120
Y: 224 123
Y: 224 124
Y: 224 355
Y: 272 365
Y: 272 366
Y: 281 112
Y: 281 114
Y: 295 153
Y: 295 157
Y: 299 244
Y: 299 375
Y: 302 152
Y: 302 161
Y: 307 47
Y: 307 48
Y: 307 147
Y: 307 376
Y: 325 38
Y: 325 39
Y: 325 166
Y: 325 382
Y: 327 483
Y: 342 121
Y: 342 357
Y: 342 440
Y: 941 158
Y: 959 242
Y: 959 243
Y: 960 314
Y: 960 462
Y: 1162 310
Y: 1162 313
Y: 1162 370
Y: 1162 373
