Nodes: 253
Arcs: 684
Blocks: 88
UB: 945
LB: 945
Used Time: 90.5735
Used Insecticide: 6183.1
N. Nodes: 3482
Runtime: 15.726
X: 1 172
X: 1 203
X: 2 8
X: 4 119
X: 4 87
X: 4 5
X: 5 6
X: 5 4
X: 6 5
X: 7 115
X: 8 89
X: 8 7
X: 10 89
X: 10 33
X: 11 27
X: 12 11
X: 12 18
X: 13 82
X: 14 15
X: 15 16
X: 15 19
X: 15 14
X: 16 15
X: 16 24
X: 17 12
X: 18 59
X: 18 55
X: 19 15
X: 19 36
X: 20 21
X: 20 25
X: 21 20
X: 21 83
X: 21 84
X: 22 161
X: 23 85
X: 24 26
X: 24 16
X: 25 20
X: 26 24
X: 26 142
X: 26 83
X: 27 28
X: 27 26
X: 28 29
X: 28 27
X: 28 32
X: 29 28
X: 31 90
X: 32 28
X: 32 35
X: 33 10
X: 35 32
X: 35 85
X: 36 19
X: 37 109
X: 38 43
X: 40 41
X: 40 91
X: 41 40
X: 41 113
X: 43 44
X: 44 45
X: 45 47
X: 46 108
X: 46 2
X: 47 48
X: 47 40
X: 48 47
X: 49 171
X: 50 51
X: 51 138
X: 52 53
X: 53 57
X: 54 99
X: 54 104
X: 55 99
X: 55 56
X: 55 18
X: 56 54
X: 56 55
X: 57 169
X: 57 63
X: 58 166
X: 59 160
X: 62 82
X: 63 167
X: 79 46
X: 80 158
X: 82 13
X: 82 161
X: 83 17
X: 83 21
X: 84 21
X: 85 86
X: 85 159
X: 85 35
X: 86 85
X: 86 23
X: 87 86
X: 87 88
X: 88 87
X: 89 10
X: 89 8
X: 90 31
X: 90 158
X: 91 94
X: 92 41
X: 94 118
X: 95 201
X: 99 100
X: 99 55
X: 100 101
X: 101 136
X: 103 79
X: 104 171
X: 104 54
X: 107 200
X: 108 157
X: 108 46
X: 109 108
X: 113 92
X: 115 80
X: 116 165
X: 116 162
X: 118 170
X: 119 4
X: 121 169
X: 124 188
X: 130 104
X: 135 136
X: 136 103
X: 136 135
X: 138 52
X: 142 26
X: 157 107
X: 158 90
X: 158 253
X: 159 4
X: 160 62
X: 161 12
X: 161 22
X: 162 58
X: 163 130
X: 164 168
X: 164 165
X: 165 116
X: 165 164
X: 166 56
X: 167 164
X: 168 116
X: 169 57
X: 169 211
X: 169 121
X: 170 173
X: 171 49
X: 171 50
X: 172 38
X: 173 124
X: 188 195
X: 191 95
X: 195 191
X: 199 203
X: 200 199
X: 201 1
X: 203 37
X: 203 1
X: 211 169
X: 253 163
Y: 1 49
Y: 2 50
Y: 2 69
Y: 6 17
Y: 10 20
Y: 10 85
Y: 15 23
Y: 23 86
Y: 38 55
Y: 44 30
Y: 45 31
Y: 45 35
Y: 47 72
Y: 49 58
Y: 50 34
Y: 50 36
Y: 55 73
Y: 59 38
Y: 83 24
Y: 83 25
Y: 83 26
Y: 83 27
Y: 86 1
Y: 86 87
Y: 121 47
Y: 161 22
Y: 171 56
