Nodes: 980
Arcs: 2866
Blocks: 443
UB: 2205
LB: 2546
Used Time: 85.8142
Used Insecticide: 6542.72
N. Nodes: 7943
Runtime: 3600.22
X: 2 245
X: 3 4
X: 4 31
X: 16 913
X: 21 913
X: 30 16
X: 31 242
X: 47 173
X: 52 216
X: 79 209
X: 127 52
X: 134 208
X: 170 172
X: 172 184
X: 173 170
X: 178 180
X: 180 79
X: 184 202
X: 189 205
X: 190 208
X: 192 275
X: 197 198
X: 198 190
X: 198 250
X: 200 192
X: 202 206
X: 202 629
X: 203 200
X: 204 198
X: 205 209
X: 205 178
X: 205 206
X: 206 205
X: 206 202
X: 208 47
X: 208 204
X: 209 203
X: 209 205
X: 212 197
X: 213 494
X: 216 250
X: 217 911
X: 220 222
X: 222 127
X: 241 220
X: 242 30
X: 245 441
X: 250 212
X: 250 880
X: 257 267
X: 258 241
X: 259 217
X: 266 336
X: 267 259
X: 275 980
X: 336 266
X: 336 213
X: 439 2
X: 441 3
X: 494 189
X: 629 134
X: 880 439
X: 911 912
X: 912 258
X: 913 21
X: 913 257
X: 980 336
Y: 3 21
Y: 16 29
Y: 16 32
Y: 16 275
Y: 16 276
Y: 21 119
Y: 31 37
Y: 31 273
Y: 31 277
Y: 134 84
Y: 134 308
Y: 170 83
Y: 170 85
Y: 173 49
Y: 173 96
Y: 180 294
Y: 180 305
Y: 180 376
Y: 192 104
Y: 192 106
Y: 205 102
Y: 205 295
Y: 209 291
Y: 266 319
Y: 266 320
Y: 275 110
Y: 275 112
Y: 336 113
Y: 336 311
Y: 336 380
Y: 336 421
Y: 441 429
