Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 2411
LB: 2576
Used Time: 84.1538
Used Insecticide: 7688.95
N. Nodes: 8528
Runtime: 3600.12
X: 3 251
X: 4 5
X: 5 33
X: 6 259
X: 7 259
X: 7 531
X: 7 8
X: 8 95
X: 8 7
X: 25 476
X: 33 25
X: 85 816
X: 88 85
X: 95 157
X: 95 8
X: 137 214
X: 148 629
X: 153 148
X: 154 153
X: 156 154
X: 157 156
X: 195 211
X: 204 256
X: 208 715
X: 210 204
X: 211 215
X: 211 212
X: 212 208
X: 214 210
X: 215 211
X: 219 526
X: 251 464
X: 256 1055
X: 259 7
X: 259 466
X: 272 342
X: 342 272
X: 342 219
X: 462 3
X: 464 4
X: 466 812
X: 476 6
X: 526 195
X: 531 7
X: 629 1212
X: 715 137
X: 812 813
X: 813 88
X: 816 95
X: 1055 462
X: 1212 342
Y: 4 29
Y: 7 320
Y: 7 494
Y: 8 506
Y: 25 46
Y: 25 497
Y: 33 45
Y: 33 319
Y: 33 323
Y: 85 452
Y: 85 508
Y: 95 437
Y: 137 92
Y: 137 354
Y: 148 438
Y: 148 515
Y: 154 95
Y: 154 96
Y: 154 97
Y: 211 110
Y: 211 341
Y: 215 337
Y: 259 30
Y: 259 31
Y: 272 365
Y: 272 366
Y: 342 121
Y: 342 357
Y: 342 440
Y: 342 485
Y: 464 496
Y: 531 367
Y: 629 477
Y: 812 228
Y: 812 343
