Nodes: 353
Arcs: 946
Blocks: 114
UB: 1095
LB: 1095
Used Time: 81.0944
Used Insecticide: 5274.73
N. Nodes: 1908
Runtime: 10.5977
X: 3 262
X: 4 48
X: 6 123
X: 7 36
X: 7 8
X: 8 34
X: 8 7
X: 12 13
X: 12 35
X: 13 12
X: 14 19
X: 17 21
X: 18 17
X: 19 86
X: 19 29
X: 20 14
X: 20 57
X: 21 303
X: 25 89
X: 26 18
X: 28 26
X: 29 19
X: 30 12
X: 34 30
X: 35 4
X: 36 7
X: 39 40
X: 40 228
X: 41 100
X: 41 42
X: 42 43
X: 42 49
X: 43 42
X: 44 112
X: 44 45
X: 45 52
X: 45 44
X: 46 45
X: 47 54
X: 47 41
X: 48 111
X: 49 47
X: 49 55
X: 50 49
X: 52 227
X: 53 46
X: 54 47
X: 54 167
X: 55 54
X: 55 59
X: 56 102
X: 57 62
X: 59 55
X: 61 20
X: 62 61
X: 65 273
X: 66 270
X: 66 67
X: 67 272
X: 83 214
X: 84 83
X: 86 28
X: 89 90
X: 89 25
X: 90 89
X: 90 6
X: 93 8
X: 100 41
X: 101 20
X: 102 56
X: 102 103
X: 103 104
X: 103 102
X: 104 103
X: 104 105
X: 105 101
X: 106 165
X: 107 106
X: 108 84
X: 109 108
X: 110 109
X: 111 112
X: 112 39
X: 112 44
X: 113 297
X: 114 113
X: 120 218
X: 123 353
X: 128 50
X: 165 104
X: 166 167
X: 167 166
X: 167 53
X: 212 90
X: 214 93
X: 218 219
X: 219 221
X: 220 223
X: 221 220
X: 223 65
X: 224 120
X: 227 107
X: 228 3
X: 258 259
X: 259 110
X: 262 258
X: 264 269
X: 268 264
X: 269 128
X: 270 66
X: 272 268
X: 273 66
X: 293 114
X: 297 315
X: 303 293
X: 315 320
X: 317 212
X: 319 317
X: 320 319
X: 353 224
Y: 3 65
Y: 4 66
Y: 4 89
Y: 7 26
Y: 7 67
Y: 12 29
Y: 12 109
Y: 14 103
Y: 17 32
Y: 18 33
Y: 18 34
Y: 19 35
Y: 19 36
Y: 25 1
Y: 25 110
Y: 39 71
Y: 41 39
Y: 41 40
Y: 42 42
Y: 44 72
Y: 45 43
Y: 47 44
Y: 49 92
Y: 52 45
Y: 56 105
Y: 57 93
Y: 62 47
Y: 128 61
