Nodes: 253
Arcs: 684
Blocks: 88
UB: 861
LB: 861
Used Time: 83.628
Used Insecticide: 4870.25
N. Nodes: 4532
Runtime: 27.7747
X: 1 203
X: 2 8
X: 3 62
X: 4 87
X: 5 4
X: 6 90
X: 6 5
X: 7 29
X: 7 8
X: 8 81
X: 8 2
X: 8 7
X: 10 89
X: 10 33
X: 14 15
X: 15 16
X: 15 14
X: 16 20
X: 16 24
X: 18 59
X: 18 55
X: 19 15
X: 19 253
X: 20 19
X: 21 22
X: 22 161
X: 23 24
X: 24 26
X: 24 16
X: 26 142
X: 26 83
X: 29 7
X: 33 10
X: 33 135
X: 37 109
X: 38 43
X: 38 37
X: 39 114
X: 40 91
X: 40 47
X: 42 49
X: 42 43
X: 43 38
X: 43 44
X: 43 42
X: 44 114
X: 45 39
X: 47 45
X: 47 40
X: 48 47
X: 49 79
X: 50 43
X: 55 18
X: 57 169
X: 58 166
X: 59 60
X: 59 18
X: 60 61
X: 61 58
X: 62 160
X: 62 3
X: 63 57
X: 79 103
X: 80 115
X: 81 8
X: 81 80
X: 82 62
X: 83 21
X: 86 23
X: 87 86
X: 87 88
X: 88 87
X: 89 10
X: 90 6
X: 91 40
X: 101 136
X: 102 101
X: 103 136
X: 103 104
X: 104 130
X: 105 81
X: 106 105
X: 107 106
X: 108 109
X: 109 42
X: 109 108
X: 110 111
X: 111 219
X: 114 38
X: 114 172
X: 115 6
X: 116 162
X: 121 48
X: 130 163
X: 130 50
X: 135 102
X: 135 33
X: 136 103
X: 136 135
X: 142 26
X: 160 59
X: 161 82
X: 162 163
X: 162 116
X: 163 162
X: 163 130
X: 163 165
X: 164 167
X: 165 164
X: 166 163
X: 167 63
X: 167 168
X: 168 167
X: 169 121
X: 172 1
X: 200 107
X: 203 200
X: 219 227
X: 222 236
X: 223 110
X: 223 230
X: 227 19
X: 230 223
X: 236 223
X: 238 239
X: 239 222
X: 253 238
Y: 1 49
Y: 2 50
Y: 5 17
Y: 10 20
Y: 10 85
Y: 19 23
Y: 21 25
Y: 22 27
Y: 23 1
Y: 24 24
Y: 26 86
Y: 39 31
Y: 42 55
Y: 43 34
Y: 45 35
Y: 47 72
Y: 49 56
Y: 49 58
Y: 55 73
Y: 59 38
Y: 79 69
Y: 83 26
Y: 114 30
Y: 121 47
Y: 130 36
Y: 161 22
