Nodes: 372
Arcs: 1063
Blocks: 152
UB: 74
LB: 91
Used Time: 93.3627
Used Insecticide: 3453.65
N. Nodes: 50415
Runtime: 3604.04
X: 0 154
X: 1 28
X: 1 248
X: 1 2
X: 2 10
X: 3 250
X: 4 5
X: 5 253
X: 6 148
X: 8 24
X: 9 68
X: 10 64
X: 13 31
X: 14 212
X: 15 255
X: 16 358
X: 18 20
X: 20 151
X: 21 210
X: 21 26
X: 22 13
X: 22 361
X: 23 192
X: 23 305
X: 24 14
X: 26 151
X: 26 21
X: 27 28
X: 28 1
X: 28 15
X: 30 307
X: 31 204
X: 36 83
X: 38 41
X: 40 38
X: 41 6
X: 57 279
X: 64 153
X: 68 130
X: 75 320
X: 83 372
X: 100 118
X: 101 117
X: 101 107
X: 107 101
X: 107 108
X: 108 100
X: 108 159
X: 114 108
X: 117 217
X: 118 36
X: 122 107
X: 126 159
X: 130 150
X: 148 245
X: 150 18
X: 151 27
X: 151 26
X: 152 295
X: 153 9
X: 154 248
X: 155 156
X: 156 331
X: 157 114
X: 158 152
X: 159 122
X: 159 331
X: 162 250
X: 163 273
X: 174 8
X: 177 174
X: 178 263
X: 179 178
X: 179 249
X: 185 187
X: 186 192
X: 187 186
X: 188 270
X: 189 194
X: 190 189
X: 191 190
X: 192 193
X: 192 23
X: 193 211
X: 194 185
X: 196 305
X: 204 177
X: 210 179
X: 210 21
X: 211 363
X: 211 362
X: 212 210
X: 213 155
X: 215 218
X: 217 369
X: 218 101
X: 220 16
X: 232 163
X: 245 157
X: 246 0
X: 248 158
X: 248 1
X: 249 162
X: 250 296
X: 250 251
X: 251 4
X: 253 349
X: 255 256
X: 256 3
X: 257 179
X: 258 363
X: 263 313
X: 264 258
X: 269 264
X: 270 191
X: 271 40
X: 272 275
X: 273 272
X: 275 294
X: 276 277
X: 277 220
X: 278 276
X: 279 278
X: 280 271
X: 294 280
X: 295 213
X: 296 297
X: 297 57
X: 305 196
X: 305 23
X: 306 365
X: 307 306
X: 308 365
X: 308 364
X: 309 364
X: 309 351
X: 310 257
X: 313 315
X: 314 269
X: 315 314
X: 316 317
X: 317 318
X: 318 188
X: 320 350
X: 331 126
X: 331 246
X: 348 75
X: 349 348
X: 350 316
X: 351 309
X: 351 310
X: 358 215
X: 361 22
X: 361 30
X: 362 22
X: 363 351
X: 363 211
X: 364 308
X: 364 309
X: 365 361
X: 365 308
X: 369 370
X: 370 232
X: 372 1
Y: 1 5
Y: 1 148
Y: 83 26
Y: 83 39
Y: 178 69
Y: 178 122
Y: 179 70
Y: 179 71
Y: 179 121
Y: 179 149
Y: 196 22
Y: 196 24
Y: 196 124
Y: 196 131
Y: 249 7
Y: 296 81
Y: 296 105
