Nodes: 179
Arcs: 499
Blocks: 73
UB: 947
LB: 947
Used Time: 83.6908
Used Insecticide: 7519
N. Nodes: 196
Runtime: 1.37602
X: 2 32
X: 3 74
X: 4 3
X: 5 4
X: 9 32
X: 9 27
X: 10 9
X: 11 17
X: 11 16
X: 15 70
X: 16 70
X: 16 21
X: 16 11
X: 17 58
X: 17 54
X: 20 21
X: 20 70
X: 21 20
X: 21 131
X: 22 23
X: 23 25
X: 25 70
X: 25 26
X: 26 16
X: 26 10
X: 27 26
X: 27 31
X: 31 5
X: 31 27
X: 31 34
X: 32 9
X: 32 2
X: 32 117
X: 34 31
X: 34 72
X: 37 42
X: 39 46
X: 42 37
X: 42 43
X: 43 44
X: 44 46
X: 46 39
X: 46 52
X: 49 42
X: 52 56
X: 54 55
X: 55 136
X: 56 139
X: 58 59
X: 58 17
X: 59 60
X: 60 130
X: 70 16
X: 70 25
X: 70 20
X: 70 15
X: 72 34
X: 73 22
X: 74 73
X: 113 49
X: 117 118
X: 117 32
X: 118 117
X: 130 58
X: 131 11
X: 133 113
X: 136 133
X: 139 179
X: 179 31
Y: 2 0
Y: 2 70
Y: 9 42
Y: 11 66
Y: 11 71
Y: 15 18
Y: 16 17
Y: 16 22
Y: 26 16
Y: 26 21
Y: 27 14
Y: 27 15
Y: 31 12
Y: 31 59
Y: 31 72
Y: 32 58
Y: 37 41
Y: 39 28
Y: 42 24
Y: 42 47
Y: 43 25
Y: 43 49
Y: 44 26
Y: 44 30
Y: 46 27
Y: 46 61
Y: 49 29
Y: 49 48
Y: 58 23
Y: 58 33
Y: 59 62
Y: 70 19
Y: 70 20
Y: 72 1
Y: 72 4
Y: 72 43
Y: 113 31
Y: 113 63
Y: 118 36
Y: 118 68
Y: 139 40
Y: 139 51
