Nodes: 353
Arcs: 946
Blocks: 114
UB: 952
LB: 952
Used Time: 94.185
Used Insecticide: 5274.73
N. Nodes: 1020
Runtime: 7.67641
X: 3 262
X: 4 48
X: 4 35
X: 6 123
X: 6 215
X: 7 37
X: 7 36
X: 8 34
X: 8 7
X: 12 13
X: 12 35
X: 13 14
X: 13 12
X: 14 13
X: 14 19
X: 16 17
X: 17 21
X: 17 16
X: 18 17
X: 19 29
X: 19 14
X: 20 57
X: 21 22
X: 21 303
X: 22 21
X: 23 24
X: 23 86
X: 24 23
X: 24 217
X: 25 26
X: 25 89
X: 26 28
X: 26 18
X: 28 26
X: 28 171
X: 28 86
X: 29 19
X: 30 34
X: 32 214
X: 34 8
X: 34 30
X: 34 37
X: 35 12
X: 35 4
X: 35 164
X: 36 7
X: 37 34
X: 37 88
X: 39 112
X: 39 40
X: 40 39
X: 40 228
X: 41 100
X: 41 42
X: 42 43
X: 42 49
X: 43 42
X: 44 45
X: 45 40
X: 45 46
X: 45 44
X: 46 47
X: 46 45
X: 47 54
X: 47 41
X: 48 82
X: 49 50
X: 49 47
X: 50 49
X: 50 128
X: 52 45
X: 53 46
X: 54 55
X: 54 167
X: 55 54
X: 55 59
X: 56 102
X: 57 62
X: 57 58
X: 58 222
X: 59 55
X: 60 218
X: 61 20
X: 62 57
X: 62 63
X: 63 62
X: 64 216
X: 65 273
X: 65 223
X: 66 270
X: 66 273
X: 82 4
X: 83 214
X: 84 83
X: 85 64
X: 86 28
X: 86 23
X: 88 25
X: 88 215
X: 89 90
X: 89 25
X: 90 89
X: 93 8
X: 100 41
X: 102 56
X: 102 103
X: 103 104
X: 103 102
X: 104 103
X: 104 105
X: 105 164
X: 106 165
X: 106 107
X: 107 227
X: 107 106
X: 108 84
X: 109 108
X: 110 109
X: 112 39
X: 113 291
X: 113 297
X: 114 113
X: 120 221
X: 123 6
X: 128 50
X: 156 107
X: 164 165
X: 164 35
X: 165 106
X: 165 104
X: 166 167
X: 167 166
X: 167 53
X: 171 28
X: 214 93
X: 214 32
X: 215 88
X: 215 6
X: 216 61
X: 217 24
X: 218 219
X: 219 156
X: 219 221
X: 220 224
X: 220 223
X: 221 219
X: 221 220
X: 222 60
X: 223 220
X: 223 65
X: 224 120
X: 227 52
X: 228 3
X: 258 259
X: 259 110
X: 262 258
X: 270 66
X: 273 66
X: 273 65
X: 290 291
X: 291 113
X: 291 290
X: 293 114
X: 294 318
X: 297 315
X: 303 293
X: 315 316
X: 316 320
X: 318 353
X: 319 294
X: 320 319
X: 353 85
Y: 7 26
Y: 7 67
Y: 12 29
Y: 12 66
Y: 17 32
Y: 18 33
Y: 18 34
Y: 20 103
Y: 26 110
Y: 29 35
Y: 39 71
Y: 40 65
Y: 41 39
Y: 41 40
Y: 42 42
Y: 45 72
Y: 53 43
Y: 54 44
Y: 56 105
Y: 57 93
Y: 86 36
Y: 89 1
Y: 128 61
Y: 128 92
Y: 164 109
Y: 165 89
Y: 216 47
Y: 227 45
