Nodes: 253
Arcs: 684
Blocks: 88
UB: 813
LB: 832
Used Time: 70.4861
Used Insecticide: 6795.1
N. Nodes: 88360
Runtime: 3603.56
X: 10 33
X: 12 17
X: 17 27
X: 17 22
X: 17 12
X: 18 59
X: 22 17
X: 22 161
X: 26 83
X: 27 28
X: 28 10
X: 28 32
X: 32 28
X: 32 35
X: 33 135
X: 35 32
X: 35 85
X: 43 44
X: 44 45
X: 45 47
X: 47 53
X: 50 43
X: 53 57
X: 55 18
X: 57 169
X: 59 160
X: 60 55
X: 61 60
X: 62 160
X: 62 82
X: 82 161
X: 82 62
X: 83 17
X: 85 35
X: 103 104
X: 104 171
X: 135 136
X: 136 103
X: 160 62
X: 160 61
X: 161 82
X: 161 22
X: 169 253
X: 171 50
X: 253 26
Y: 10 50
Y: 12 80
Y: 12 85
Y: 17 21
Y: 17 22
Y: 26 24
Y: 26 26
Y: 26 86
Y: 28 19
Y: 28 20
Y: 28 70
Y: 32 17
Y: 33 69
Y: 43 29
Y: 43 55
Y: 44 30
Y: 44 57
Y: 45 31
Y: 45 35
Y: 47 32
Y: 47 72
Y: 50 34
Y: 61 73
Y: 83 25
Y: 83 27
Y: 85 1
Y: 85 6
Y: 85 51
Y: 103 58
Y: 103 82
Y: 104 36
Y: 104 74
Y: 160 38
Y: 169 47
Y: 169 59
Y: 171 56
