Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 750
LB: 840
Used Time: 92.1835
Used Insecticide: 5630.23
N. Nodes: 71387
Runtime: 3601.51
X: 3 251
X: 4 5
X: 5 16
X: 6 259
X: 6 466
X: 7 531
X: 8 7
X: 14 30
X: 14 274
X: 15 136
X: 16 132
X: 19 301
X: 19 37
X: 20 345
X: 20 30
X: 21 475
X: 22 1118
X: 24 26
X: 26 248
X: 27 343
X: 27 32
X: 28 19
X: 28 1125
X: 29 300
X: 29 902
X: 30 14
X: 30 20
X: 32 248
X: 32 27
X: 33 34
X: 34 21
X: 36 909
X: 37 19
X: 37 316
X: 85 816
X: 87 624
X: 88 85
X: 95 8
X: 132 250
X: 136 226
X: 197 203
X: 203 204
X: 204 256
X: 221 1212
X: 226 247
X: 247 24
X: 248 33
X: 248 32
X: 250 15
X: 251 464
X: 256 1055
X: 259 6
X: 259 466
X: 274 14
X: 274 277
X: 277 274
X: 277 316
X: 278 533
X: 279 465
X: 300 301
X: 300 29
X: 301 300
X: 301 344
X: 303 308
X: 304 1123
X: 304 902
X: 308 221
X: 316 277
X: 316 37
X: 343 27
X: 343 345
X: 344 911
X: 344 1126
X: 345 20
X: 345 343
X: 354 357
X: 357 197
X: 359 22
X: 462 3
X: 464 4
X: 465 259
X: 466 812
X: 466 467
X: 467 813
X: 468 278
X: 475 476
X: 476 6
X: 477 533
X: 477 279
X: 478 1127
X: 531 468
X: 533 477
X: 533 929
X: 534 478
X: 539 534
X: 624 625
X: 625 359
X: 626 627
X: 627 87
X: 812 626
X: 812 813
X: 813 88
X: 813 812
X: 816 95
X: 902 304
X: 902 29
X: 908 1129
X: 909 908
X: 910 1129
X: 910 1128
X: 911 1128
X: 911 1091
X: 912 477
X: 929 931
X: 930 539
X: 931 930
X: 1055 462
X: 1091 912
X: 1118 354
X: 1123 303
X: 1125 28
X: 1125 36
X: 1126 28
X: 1127 344
X: 1128 910
X: 1128 911
X: 1129 1125
X: 1129 910
X: 1212 304
Y: 33 29
Y: 33 45
Y: 33 319
Y: 33 323
Y: 34 496
Y: 85 437
Y: 85 452
Y: 85 494
Y: 85 508
Y: 221 117
Y: 221 120
Y: 221 123
Y: 259 30
Y: 259 31
Y: 259 497
Y: 304 48
Y: 304 50
Y: 304 376
Y: 304 440
Y: 477 141
Y: 477 142
Y: 477 229
Y: 477 443
Y: 533 140
Y: 533 240
Y: 812 228
Y: 812 343
