Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 2288
LB: 2511
Used Time: 83.1378
Used Insecticide: 7661.4
N. Nodes: 7397
Runtime: 3600.09
X: 3 251
X: 4 5
X: 5 33
X: 27 343
X: 32 27
X: 33 248
X: 137 214
X: 150 155
X: 155 943
X: 155 150
X: 195 211
X: 204 256
X: 208 715
X: 210 204
X: 211 215
X: 211 212
X: 212 208
X: 214 210
X: 215 211
X: 219 526
X: 248 32
X: 251 464
X: 256 1055
X: 272 342
X: 278 468
X: 279 278
X: 295 1212
X: 342 272
X: 342 219
X: 343 279
X: 462 3
X: 464 4
X: 468 469
X: 469 1085
X: 526 195
X: 715 137
X: 939 940
X: 940 941
X: 941 295
X: 943 1090
X: 1055 462
X: 1084 155
X: 1085 1084
X: 1090 939
X: 1212 342
Y: 4 29
Y: 33 45
Y: 33 319
Y: 33 323
Y: 137 92
Y: 137 354
Y: 150 515
Y: 155 458
Y: 211 110
Y: 211 341
Y: 215 337
Y: 272 365
Y: 272 366
Y: 278 140
Y: 278 368
Y: 279 141
Y: 279 142
Y: 279 367
Y: 295 153
Y: 295 157
Y: 342 121
Y: 342 357
Y: 342 440
Y: 342 485
Y: 464 496
Y: 468 320
Y: 469 506
Y: 940 158
Y: 940 241
Y: 940 242
Y: 940 444
Y: 941 462
Y: 1084 477
Y: 1084 482
