Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 1414
LB: 1675
Used Time: 90.2216
Used Insecticide: 5840.3
N. Nodes: 8167
Runtime: 3600.13
X: 17 35
X: 29 902
X: 35 287
X: 188 191
X: 191 1212
X: 217 281
X: 220 321
X: 221 308
X: 280 284
X: 281 327
X: 283 217
X: 284 17
X: 287 315
X: 289 280
X: 290 289
X: 293 290
X: 295 293
X: 303 308
X: 304 1123
X: 304 902
X: 308 221
X: 308 283
X: 312 325
X: 313 529
X: 314 349
X: 315 312
X: 321 313
X: 323 346
X: 325 349
X: 325 323
X: 327 220
X: 346 915
X: 348 527
X: 349 916
X: 349 325
X: 350 925
X: 397 409
X: 398 402
X: 400 188
X: 402 520
X: 403 400
X: 409 519
X: 417 397
X: 519 398
X: 520 523
X: 523 403
X: 527 314
X: 527 528
X: 528 529
X: 528 527
X: 529 530
X: 529 528
X: 530 906
X: 546 547
X: 547 549
X: 549 1163
X: 583 348
X: 587 583
X: 590 923
X: 591 590
X: 592 593
X: 593 918
X: 595 1037
X: 598 892
X: 721 417
X: 892 1001
X: 902 304
X: 902 29
X: 905 592
X: 906 905
X: 915 546
X: 916 917
X: 917 350
X: 918 919
X: 919 920
X: 920 598
X: 921 1097
X: 922 926
X: 923 1036
X: 924 1039
X: 925 922
X: 926 924
X: 941 295
X: 959 941
X: 960 959
X: 998 1005
X: 999 998
X: 1000 1006
X: 1001 1000
X: 1004 1130
X: 1005 1004
X: 1006 999
X: 1036 587
X: 1037 591
X: 1038 595
X: 1039 921
X: 1088 1162
X: 1097 1038
X: 1123 303
X: 1130 721
X: 1162 960
X: 1163 1088
X: 1212 304
Y: 29 34
Y: 29 36
Y: 29 41
Y: 29 42
Y: 191 99
Y: 191 107
Y: 191 111
Y: 221 117
Y: 221 120
Y: 221 123
Y: 221 124
Y: 281 112
Y: 281 114
Y: 281 118
Y: 290 144
Y: 290 148
Y: 290 152
Y: 295 153
Y: 295 157
Y: 304 48
Y: 304 50
Y: 304 376
Y: 304 440
Y: 941 158
Y: 941 242
Y: 960 310
Y: 960 313
Y: 960 314
Y: 960 462
