Nodes: 980
Arcs: 2866
Blocks: 443
UB: 2436
LB: 2619
Used Time: 83.817
Used Insecticide: 7632.81
N. Nodes: 21432
Runtime: 3600.36
X: 2 245
X: 3 4
X: 4 31
X: 5 253
X: 6 499
X: 6 7
X: 7 92
X: 7 6
X: 23 451
X: 31 23
X: 82 702
X: 85 82
X: 92 154
X: 92 7
X: 134 208
X: 151 980
X: 153 151
X: 154 153
X: 189 205
X: 198 250
X: 202 629
X: 204 198
X: 205 209
X: 205 206
X: 206 202
X: 208 204
X: 209 205
X: 213 494
X: 245 441
X: 250 880
X: 253 6
X: 253 443
X: 266 336
X: 272 273
X: 273 442
X: 273 452
X: 336 266
X: 336 213
X: 439 2
X: 441 3
X: 442 253
X: 443 698
X: 445 272
X: 451 5
X: 452 273
X: 494 189
X: 499 445
X: 629 134
X: 698 699
X: 699 85
X: 702 92
X: 880 439
X: 980 336
Y: 3 21
Y: 6 274
Y: 6 427
Y: 23 38
Y: 23 430
Y: 31 37
Y: 31 273
Y: 31 277
Y: 82 392
Y: 82 439
Y: 92 377
Y: 92 437
Y: 134 84
Y: 134 308
Y: 151 87
Y: 151 88
Y: 151 89
Y: 205 102
Y: 205 295
Y: 209 291
Y: 253 22
Y: 253 23
Y: 266 319
Y: 266 320
Y: 272 132
Y: 272 133
Y: 272 321
Y: 272 322
Y: 273 134
Y: 336 113
Y: 336 311
Y: 336 380
Y: 336 421
Y: 441 429
Y: 452 214
Y: 452 383
Y: 698 213
Y: 698 297
